id,goals,assists,cleansheets,influence,creativity,threat,ict,minutes,gw
345,0,0,0,0.0,0.0,0.0,0.0,0,7
346,0,0,0,8.8,11.8,0.0,2.1,26,7
347,0,0,0,13.2,4.0,8.0,2.5,90,7
348,0,0,0,0.0,0.0,0.0,0.0,1,7
349,0,0,0,15.0,3.3,0.0,1.8,90,7
350,0,0,0,3.2,0.2,17.0,2.0,12,7
351,0,0,0,0.0,0.0,0.0,0.0,0,7
352,0,0,0,0.0,0.0,0.0,0.0,0,7
368,0,0,0,16.6,5.3,9.0,3.1,90,7
369,0,0,0,9.4,37.5,8.0,5.5,45,7
370,0,0,0,0.0,0.0,0.0,0.0,0,7
371,0,0,0,16.0,25.9,37.0,7.9,90,7
372,0,0,0,0.0,0.0,0.0,0.0,0,7
373,0,0,0,7.6,5.4,8.0,2.1,90,7
374,0,0,0,0.0,0.0,0.0,0.0,0,7
375,0,0,0,0.0,0.0,0.0,0.0,0,7
389,0,0,0,0.0,0.0,0.0,0.0,0,7
390,0,1,0,37.2,27.8,60.0,12.5,90,7
391,0,0,0,6.2,22.0,20.0,4.8,23,7
392,1,0,0,44.4,29.3,27.0,10.1,90,7
393,0,0,0,0.0,0.0,0.0,0.0,0,7
394,0,0,0,0.0,0.3,0.0,0.0,15,7
395,0,0,0,30.2,2.7,7.0,4.0,90,7
396,0,0,0,0.0,2.8,6.0,0.8,74,7
397,0,0,0,0.0,0.0,0.0,0.0,0,7
398,0,0,0,0.0,0.0,0.0,0.0,0,7
399,0,0,0,10.0,41.3,52.0,10.3,66,7
400,0,0,0,0.0,0.0,0.0,0.0,0,7
414,0,0,0,1.4,0.4,0.0,0.2,3,7
415,0,0,1,8.0,7.3,0.0,1.5,90,7
416,0,1,0,0.0,5.3,4.0,0.9,33,7
417,0,0,1,14.8,20.5,8.0,4.3,86,7
418,0,0,0,0.0,0.0,0.0,0.0,0,7
419,0,0,0,0.0,0.0,0.0,0.0,0,7
