,code,element_type,event_points,first_name,form,id,now_cost,points_per_game,second_name,selected_by_percent,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
251,101668,4,2,Jamie,2.0,166,97,6.2,Vardy,36.0,a,9,13,156,4319002,147221,2642261,64706,0.2,16.1,Vardy,2191,17,6,8,25,0,0,1,2,0,0,25,565,751.6,228.6,922.0,189.5
252,173515,4,1,Kelechi,0.7,167,57,4.1,Iheanacho,0.3,a,9,13,41,50941,244,58120,1674,0.1,7.2,Iheanacho,431,3,4,1,6,0,0,0,1,0,0,5,143,184.6,125.9,318.0,63.0
253,17745,1,12,Kasper,6.7,168,53,4.1,Schmeichel,14.1,a,9,13,111,1199831,43414,724240,5389,1.3,20.9,Schmeichel,2430,0,0,9,27,0,1,0,1,0,75,6,511,648.4,10.0,0.0,65.9
254,11974,1,0,Eldin,0.0,169,42,0.0,Jakupovic,0.1,a,9,13,0,1487,18,5457,32,0.0,0.0,Jakupovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
255,95463,1,0,Danny,0.0,170,42,0.0,Ward,0.2,a,9,13,0,2320,34,9148,50,0.0,0.0,Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
256,172780,3,2,James,1.7,171,74,4.4,Maddison,20.5,a,9,13,114,2943868,71568,2244254,46740,0.2,15.4,Maddison,2219,6,5,8,24,0,0,0,4,0,0,14,472,587.8,1060.2,609.0,225.8
257,201666,3,1,Harvey,3.7,172,60,3.6,Barnes,2.9,a,9,13,91,357009,27759,172323,11923,0.6,15.2,Barnes,1525,4,7,6,15,0,0,0,0,0,0,5,267,358.0,369.1,633.0,136.1
258,115858,3,0,Rachid,0.0,173,52,0.0,Ghezzal,0.0,n,9,13,0,599,0,3891,3,0.0,0.0,Ghezzal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
259,51938,3,0,Marc,0.3,174,51,1.3,Albrighton,0.2,a,9,13,16,8975,67,21548,79,0.1,3.1,Albrighton,374,0,1,0,7,0,0,0,1,0,0,0,83,77.6,134.3,60.0,27.2
260,172632,3,0,Demarai,0.0,175,51,1.7,Gray,0.2,a,9,13,24,11402,69,37109,144,0.0,4.7,Gray,409,1,2,0,4,0,0,1,1,0,0,0,80,109.2,114.3,156.0,37.8
261,203341,3,0,Wilfred,0.0,176,50,3.0,Ndidi,1.7,d,9,13,63,383052,67,404523,3073,0.0,12.6,Ndidi,1786,2,1,8,18,0,0,0,3,0,0,5,332,474.8,187.9,146.0,80.9
262,61604,3,1,Matty,0.3,177,43,1.0,James,0.1,a,9,13,1,12122,412,25112,123,0.1,0.2,James,5,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.1,0.0,0.1
263,155569,3,0,Daniel,0.0,178,43,0.0,Amartey,0.3,i,9,13,0,27455,48,36531,243,0.0,0.0,Amartey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
264,86881,3,0,Nampalys,0.0,179,43,1.5,Mendy,0.8,i,9,13,6,94666,77,112591,1270,0.0,1.4,Mendy,193,0,0,0,3,0,0,0,0,0,0,0,49,36.4,34.2,9.0,8.0
265,197469,3,0,Hamza,0.7,180,43,1.8,Choudhury,0.8,a,9,13,27,137993,646,133336,1727,0.2,6.3,Choudhury,711,1,1,2,10,0,0,0,2,1,0,0,130,169.4,65.6,79.0,31.4
266,168580,3,1,Ayoze,2.0,265,62,4.5,Perez,9.1,a,9,13,108,1181391,38640,1542596,34009,0.3,17.4,Pérez,1501,7,5,7,16,0,0,0,0,0,0,9,325,464.4,338.5,583.0,138.8
267,41727,2,0,Ryan,0.0,404,48,1.9,Bennett,0.3,a,9,13,21,17502,52,43945,169,0.0,4.4,Bennett,603,0,0,2,9,0,0,0,2,0,0,0,110,113.6,33.7,16.0,16.3
268,220627,2,0,James,0.0,433,47,2.3,Justin,0.1,a,9,13,7,3014,28,7687,48,0.0,1.5,Justin,110,0,1,0,1,0,0,0,0,0,0,0,30,45.2,29.5,6.0,8.0
269,166989,3,2,Youri,4.7,448,62,3.6,Tielemans,4.3,a,9,13,93,904967,12258,1001528,5698,0.8,15.0,Tielemans,2117,3,5,9,24,0,0,0,1,0,0,5,385,426.2,537.7,373.0,133.9
270,13152,3,0,Andy,0.0,480,43,0.0,King,0.3,n,9,13,0,40502,68,66146,195,0.0,0.0,King,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
271,106837,3,2,Dennis,1.3,517,53,2.4,Praet,0.1,a,9,13,45,9006,215,11070,208,0.2,8.5,Praet,814,1,3,1,9,0,0,0,0,0,0,3,174,152.8,114.0,164.0,42.9
272,213405,2,0,Filip,0.0,597,39,0.0,Benkovic,0.0,n,9,13,0,1453,221,803,107,0.0,0.0,Benkovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
273,122798,2,4,Andrew,6.2,181,70,5.0,Robertson,21.0,a,10,14,136,1284487,22168,1907711,14319,0.9,19.4,Robertson,2353,1,7,11,17,0,0,0,1,0,0,15,629,610.2,689.5,279.0,158.0
274,169187,2,10,Trent,7.5,182,77,6.0,Alexander-Arnold,44.4,a,10,14,163,2684350,37668,1243048,5545,1.0,21.2,Alexander-Arnold,2369,2,14,11,17,0,0,0,4,0,0,18,703,801.2,1126.9,338.0,226.6
