,id,fixture_id,G,A,CS,gw,MP,I,C,T,ICT,team,opp,home,opp_att,opp_def,att,def,Sh90,KP90
67,490.0,24,0.0,0.0,0.0,3.0,80.0,6.2,15.9,0.0,2.2,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,0.0,1.08
68,11.0,24,0.0,1.0,0.0,3.0,90.0,7.0,25.3,23.0,5.5,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,2.0,2.0
69,12.0,24,0.0,0.0,0.0,3.0,9.0,2.0,0.5,2.0,0.5,1.0,10.0,False,1300.0,1340.0,1190.0,1330.0,0.0,0.0
70,14.0,31,0.0,0.0,0.0,4.0,90.0,29.6,0.0,0.0,3.0,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,0.0,0.0
71,3.0,31,0.0,0.0,0.0,4.0,90.0,17.0,34.1,13.0,6.4,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,1.0,2.0
72,4.0,31,0.0,0.0,0.0,4.0,90.0,29.4,41.7,12.0,8.3,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,1.0,3.0
73,5.0,31,0.0,0.0,0.0,4.0,90.0,8.0,0.2,0.0,0.8,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,0.0,0.0
74,106.0,31,0.0,0.0,0.0,4.0,90.0,15.2,1.0,2.0,1.8,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,0.0,0.0
75,16.0,31,0.0,0.0,0.0,4.0,23.0,3.8,13.0,24.0,4.1,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,4.29,4.29
76,18.0,31,0.0,0.0,0.0,4.0,90.0,10.6,37.1,9.0,5.7,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,1.0,3.0
77,19.0,31,0.0,0.0,0.0,4.0,62.0,12.4,27.3,5.0,4.5,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,1.38,2.77
78,21.0,31,0.0,1.0,0.0,4.0,90.0,33.2,18.1,25.0,7.6,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,2.0,1.0
79,469.0,31,0.0,0.0,0.0,4.0,27.0,13.6,22.7,17.0,5.3,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,7.2,7.2
80,488.0,31,0.0,1.0,0.0,4.0,90.0,21.6,29.2,75.0,12.6,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,7.0,2.0
81,11.0,31,1.0,0.0,0.0,4.0,90.0,47.8,26.6,53.0,12.7,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,4.0,1.0
82,12.0,31,1.0,0.0,0.0,4.0,66.0,40.6,12.1,69.0,12.2,1.0,17.0,True,1290.0,1290.0,1150.0,1280.0,7.83,1.3
83,14.0,49,0.0,0.0,0.0,5.0,90.0,45.4,0.0,0.0,4.5,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,0.0,0.0
84,3.0,49,0.0,1.0,0.0,5.0,90.0,29.6,23.6,0.0,5.3,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,0.0,2.0
85,4.0,49,0.0,1.0,0.0,5.0,90.0,29.8,12.2,4.0,4.6,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,0.0,1.0
86,5.0,49,0.0,0.0,0.0,5.0,90.0,13.8,0.2,0.0,1.4,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,0.0,0.0
87,106.0,49,0.0,0.0,0.0,5.0,90.0,15.8,3.3,0.0,1.9,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,0.0,0.0
88,15.0,49,0.0,0.0,0.0,5.0,70.0,6.4,18.8,2.0,2.7,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,0.0,1.23
89,18.0,49,0.0,0.0,0.0,5.0,90.0,22.4,2.0,3.0,2.7,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,1.0,0.0
90,19.0,49,0.0,0.0,0.0,5.0,23.0,8.8,0.6,17.0,2.6,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,4.29,0.0
91,21.0,49,0.0,0.0,0.0,5.0,66.0,5.8,14.9,0.0,2.1,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,0.0,1.3
92,469.0,49,0.0,0.0,0.0,5.0,59.0,2.4,7.8,2.0,1.2,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,0.0,0.0
93,488.0,49,0.0,0.0,0.0,5.0,90.0,9.8,14.2,5.0,2.9,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,1.0,1.0
94,489.0,49,0.0,0.0,0.0,5.0,19.0,7.6,0.4,19.0,2.7,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,5.29,0.0
95,490.0,49,0.0,0.0,0.0,5.0,30.0,3.6,0.7,6.0,1.0,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,0.0,0.0
96,11.0,49,2.0,0.0,0.0,5.0,90.0,69.2,2.2,44.0,11.5,1.0,18.0,False,1080.0,1040.0,1190.0,1330.0,3.0,0.0
97,14.0,51,0.0,0.0,0.0,6.0,90.0,37.4,0.0,0.0,3.7,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,0.0,0.0
