,id,name,Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA,gw
24,455,Bjorn Engels,Aston Villa,Bjorn,Engels,D,1,90,0,0,0.0,0.0,0.0,0.0,17
25,458,Frederic Guilbert,Aston Villa,Frederic,Guilbert,D,1,90,0,0,0.0,0.0,0.0,0.0,17
26,465,Trezeguet,Aston Villa,Trezeguet,,S,1,8,0,0,0.0,0.0,0.0,0.0,17
27,470,Douglas Luiz,Aston Villa,Douglas,Luiz,S,1,22,0,0,0.0,0.0,0.0,0.0,17
28,491,Marvelous Nakamba,Aston Villa,Marvelous,Nakamba,M,1,90,0,0,1.0,0.0,0.01,0.0,17
29,61,Chris Mepham,Bournemouth,Chris,Mepham,D,1,90,0,0,1.0,0.0,0.04,0.0,17
30,62,Simon Francis,Bournemouth,Simon,Francis,D,1,90,0,0,1.0,0.0,0.02,0.0,17
31,65,Diego Rico,Bournemouth,Diego,Rico,D,1,90,0,0,0.0,2.0,0.0,0.13,17
32,68,Joshua King,Bournemouth,Joshua,King,F,1,77,0,0,2.34,1.17,0.26,0.06,17
33,69,Dominic Solanke,Bournemouth,Dominic,Solanke,S,1,13,0,0,6.92,0.0,0.09,0.0,17
34,75,Ryan Fraser,Bournemouth,Ryan,Fraser,M,1,90,0,0,2.0,1.0,0.08,0.15,17
35,79,Lewis Cook,Bournemouth,Lewis,Cook,M,1,90,0,0,1.0,0.0,0.06,0.0,17
36,81,Dan Gosling,Bournemouth,Dan,Gosling,M,1,90,1,0,3.0,2.0,0.66,0.13,17
37,82,Jefferson Lerma,Bournemouth,Jefferson,Lerma,M,1,90,0,1,0.0,2.0,0.0,0.49,17
38,446,Jack Stacey,Bournemouth,Jack,Stacey,D,1,90,0,0,0.0,0.0,0.0,0.0,17
39,476,Philip Billing,Bournemouth,Philip,Billing,M,1,90,0,0,0.0,0.0,0.0,0.0,17
40,494,Aaron Ramsdale,Bournemouth,Aaron,Ramsdale,GK,1,90,0,0,0.0,0.0,0.0,0.0,17
41,37,Shane Duffy,Brighton,Shane,Duffy,S,1,4,0,0,0.0,0.0,0.0,0.0,17
42,38,Martin Montoya,Brighton,Martin,Montoya,D,1,90,0,0,2.0,1.0,0.87,0.01,17
43,39,Bernardo,Brighton,Bernardo,,S,1,1,0,0,0.0,0.0,0.0,0.0,17
44,42,Lewis Dunk,Brighton,Lewis,Dunk,D,1,90,0,0,2.0,1.0,0.17,0.03,17
45,47,Mat Ryan,Brighton,Mat,Ryan,GK,1,90,0,0,0.0,0.0,0.0,0.0,17
46,49,Pascal Gro,Brighton,Pascal,Gro,M,1,90,0,1,1.0,4.0,0.01,0.6,17
47,53,Yves Bissouma,Brighton,Yves,Bissouma,M,1,86,0,0,3.14,0.0,0.05,0.0,17
48,54,Davy Propper,Brighton,Davy,Propper,M,1,90,0,0,3.0,1.0,0.11,0.15,17
49,421,Leandro Trossard,Brighton,Leandro,Trossard,F,1,85,0,0,1.06,0.0,0.04,0.0,17
50,475,Dan Burn,Brighton,Dan,Burn,D,1,90,0,0,0.0,1.0,0.0,0.02,17
51,493,Adam Webster,Brighton,Adam,Webster,D,1,90,0,0,0.0,0.0,0.0,0.0,17
52,502,Neal Maupay,Brighton,Neal,Maupay,F,1,90,1,0,2.0,0.0,1.27,0.0,17
53,516,Aaron Mooy,Brighton,Aaron,Mooy,F,1,90,0,0,1.0,1.0,0.03,0.04,17
54,537,Steven Alzate,Brighton,Steven,Alzate,S,1,5,0,0,0.0,0.0,0.0,0.0,17
55,83,Ben Mee,Burnley,Ben,Mee,D,1,90,0,0,0.0,0.0,0.0,0.0,17
56,84,James Tarkowski,Burnley,James,Tarkowski,D,1,90,0,0,1.0,0.0,0.08,0.0,17
57,86,Phil Bardsley,Burnley,Phil,Bardsley,D,1,90,0,0,0.0,0.0,0.0,0.0,17
58,90,Ashley Barnes,Burnley,Ashley,Barnes,F,1,90,0,0,1.0,2.0,0.08,0.09,17
59,91,Chris Wood,Burnley,Chris,Wood,F,1,88,1,0,3.07,0.0,0.94,0.0,17
60,93,Nick Pope,Burnley,Nick,Pope,GK,1,90,0,0,0.0,0.0,0.0,0.0,17
61,97,Dwight McNeil,Burnley,Dwight,McNeil,M,1,90,0,0,1.0,2.0,0.02,0.14,17
62,100,Jeff Hendrick,Burnley,Jeff,Hendrick,M,1,90,0,0,0.0,0.0,0.0,0.0,17
63,101,Ashley Westwood,Burnley,Ashley,Westwood,M,1,90,0,1,0.0,2.0,0.0,0.88,17
64,102,Jack Cork,Burnley,Jack,Cork,M,1,90,0,0,1.0,0.0,0.32,0.0,17
65,447,Erik Pieters,Burnley,Erik,Pieters,D,1,90,0,0,0.0,0.0,0.0,0.0,17
66,451,Jay Rodriguez,Burnley,Jay,Rodriguez,S,1,2,0,0,0.0,0.0,0.0,0.0,17
67,104,Antonio Rudiger,Chelsea,Antonio,Rudiger,D,1,90,0,0,1.0,0.0,0.02,0.0,17
68,105,Cesar Azpilicueta,Chelsea,Cesar,Azpilicueta,D,1,90,0,0,1.0,4.0,0.05,0.62,17
69,107,Emerson,Chelsea,Emerson,,D,1,90,0,0,2.0,0.0,0.47,0.0,17
70,111,Kepa,Chelsea,Kepa,,GK,1,90,0,0,0.0,0.0,0.0,0.0,17
71,113,Willian,Chelsea,Willian,,M,1,67,0,0,4.03,4.03,0.15,0.51,17
72,116,Callum Hudson-Odoi,Chelsea,Callum,Hudson-Odoi,S,1,23,0,0,0.0,0.0,0.0,0.0,17
73,118,Jorginho,Chelsea,Jorginho,,M,1,80,0,0,1.13,1.13,0.02,0.3,17
74,119,N'Golo Kante,Chelsea,N'Golo,Kante,M,1,90,0,0,0.0,1.0,0.0,0.05,17
75,431,Christian Pulisic,Chelsea,Christian,Pulisic,M,1,67,0,0,4.03,0.0,0.53,0.0,17
76,432,Mateo Kovacic,Chelsea,Mateo,Kovacic,S,1,23,0,0,3.91,0.0,0.02,0.0,17
77,459,Kurt Zouma,Chelsea,Kurt,Zouma,D,1,90,0,0,1.0,0.0,0.14,0.0,17
78,460,Tammy Abraham,Chelsea,Tammy,Abraham,F,1,90,0,0,4.0,1.0,0.33,0.03,17
79,461,Michy Batshuayi,Chelsea,Michy,Batshuayi,S,1,10,0,0,0.0,0.0,0.0,0.0,17
80,463,Mason Mount,Chelsea,Mason,Mount,M,1,90,0,0,1.0,0.0,0.3,0.0,17
81,124,James Tomkins,Crystal Palace,James,Tomkins,D,1,90,0,1,1.0,1.0,0.06,0.06,17
82,127,Scott Dann,Crystal Palace,Scott,Dann,D,1,90,0,0,0.0,0.0,0.0,0.0,17
83,128,Martin Kelly,Crystal Palace,Martin,Kelly,D,1,90,0,0,1.0,3.0,0.04,0.1,17
84,129,Christian Benteke,Crystal Palace,Christian,Benteke,F,1,90,0,0,4.0,1.0,0.15,0.07,17
85,131,Vicente Guaita,Crystal Palace,Vicente,Guaita,GK,1,90,0,0,0.0,0.0,0.0,0.0,17
86,133,Wilfried Zaha,Crystal Palace,Wilfried,Zaha,F,1,90,1,0,1.0,1.0,0.06,0.04,17
87,134,Luka Milivojevic,Crystal Palace,Luka,Milivojevic,M,1,90,0,0,0.0,1.0,0.0,0.06,17
88,136,Max Meyer,Crystal Palace,Max,Meyer,S,1,22,0,0,4.09,0.0,0.01,0.0,17
89,138,James McArthur,Crystal Palace,James,McArthur,M,1,90,0,0,1.0,0.0,0.01,0.0,17
90,139,Cheikhou Kouyate,Crystal Palace,Cheikhou,Kouyate,M,1,68,0,0,0.0,0.0,0.0,0.0,17
91,157,James McCarthy,Crystal Palace,James,McCarthy,S,1,43,0,0,2.09,0.0,0.09,0.0,17
92,468,Jordan Ayew,Crystal Palace,Jordan,Ayew,F,1,90,0,0,1.0,1.0,0.07,0.05,17
93,539,Jairo Riedewald,Crystal Palace,Jairo,Riedewald,D,1,47,0,0,0.0,0.0,0.0,0.0,17
94,17,Alex Iwobi,Everton,Alex,Iwobi,M,1,90,0,0,1.0,0.0,0.06,0.0,17
95,141,Lucas Digne,Everton,Lucas,Digne,D,1,24,0,0,0.0,3.75,0.0,0.07,17
96,142,Yerry Mina,Everton,Yerry,Mina,D,1,90,0,0,0.0,0.0,0.0,0.0,17
97,143,Michael Keane,Everton,Michael,Keane,D,1,90,0,0,0.0,0.0,0.0,0.0,17
98,144,Seamus Coleman,Everton,Seamus,Coleman,D,1,90,0,0,0.0,0.0,0.0,0.0,17
99,145,Leighton Baines,Everton,Leighton,Baines,S,1,66,0,0,1.36,0.0,0.04,0.0,17
100,147,Dominic Calvert-Lewin,Everton,Dominic,Calvert-Lewin,F,1,90,0,0,3.0,0.0,0.11,0.0,17
