Team,First Name,Last Name,Pos,Apps,Min,G,A,Sh90,KP90,xG,xA
Leicester,Ben,Chilwell,D,1,90,1,0,2.00,1.00,0.11,0.10
Leicester,Harvey,Barnes,M,1,90,1,0,4.00,1.00,0.70,0.07
Leicester,Kelechi,Iheanacho,S,1,8,0,0,0.00,0.00,0.00,0.00
Leicester,Kasper,Schmeichel,GK,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Jamie,Vardy,F,1,82,0,0,1.10,1.10,0.25,0.53
Leicester,Ayoze,Perez,M,1,90,0,0,0.00,1.00,0.00,0.25
Leicester,Jonny,Evans,D,1,90,0,0,1.00,0.00,0.25,0.00
Leicester,Dennis,Praet,S,1,8,0,0,0.00,0.00,0.00,0.00
Leicester,Ricardo,Pereira,D,1,90,0,0,1.00,0.00,0.01,0.00
Leicester,Caglar,Soyuncu,D,1,90,0,0,0.00,0.00,0.00,0.00
Leicester,Youri,Tielemans,M,1,82,0,2,2.20,2.20,0.10,0.13
Leicester,Hamza,Choudhury,M,1,90,0,0,1.00,1.00,0.02,0.02
Leicester,James,Maddison,M,1,90,0,0,2.00,5.00,0.12,0.34
Chelsea,Antonio,Rudiger,D,1,90,2,0,2.00,0.00,0.49,0.00
Chelsea,Andreas,Christensen,D,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Ross,Barkley,S,1,5,0,0,0.00,0.00,0.00,0.00
Chelsea,Willy,Caballero,GK,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Cesar,Azpilicueta,D,1,90,0,0,0.00,0.00,0.00,0.00
Chelsea,Pedro,,M,1,76,0,0,1.18,0.00,0.05,0.00
Chelsea,Willian,,S,1,14,0,0,0.00,0.00,0.00,0.00
Chelsea,Tammy,Abraham,F,1,85,0,0,0.00,1.06,0.00,0.06
Chelsea,N'Golo,Kante,M,1,90,0,0,1.00,1.00,0.05,0.05
Chelsea,Jorginho,,M,1,76,0,0,0.00,0.00,0.00,0.00
Chelsea,Mateo,Kovacic,S,1,14,0,0,0.00,0.00,0.00,0.00
Chelsea,Callum,Hudson-Odoi,M,1,90,0,0,1.00,0.00,0.06,0.00
Chelsea,Mason,Mount,M,1,90,0,2,2.00,2.00,0.14,0.49
Chelsea,Reece,James,D,1,90,0,0,0.00,1.00,0.00,0.00
Manchester United,David,de Gea,GK,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Anthony,Martial,F,1,90,0,0,0.00,1.00,0.00,0.03
Manchester United,Juan,Mata,M,1,90,0,0,1.00,0.00,0.04,0.00
Manchester United,Jesse,Lingard,S,1,1,0,0,0.00,0.00,0.00,0.00
Manchester United,Andreas,Pereira,M,1,74,0,0,2.43,0.00,0.10,0.00
Manchester United,Luke,Shaw,D,1,90,0,0,0.00,1.00,0.00,0.03
Manchester United,Bruno,Fernandes,M,1,90,0,0,5.00,0.00,0.16,0.00
Manchester United,Harry,Maguire,D,1,90,0,0,2.00,1.00,0.11,0.02
Manchester United,Aaron,Wan-Bissaka,D,1,90,0,0,0.00,2.00,0.00,0.39
Manchester United,Daniel,James,M,1,90,0,0,0.00,0.00,0.00,0.00
Manchester United,Victor,Lindelof,D,1,90,0,0,2.00,1.00,0.03,0.01
Manchester United,Fred,,M,1,90,0,0,1.00,2.00,0.03,0.03
Manchester United,Diogo,Dalot,S,1,1,0,0,90.00,0.00,0.35,0.00
Manchester United,Mason,Greenwood,S,1,16,0,0,5.63,0.00,0.02,0.00
Wolverhampton Wanderers,Adama,Traore,F,1,78,0,0,2.31,2.31,0.13,0.15
Wolverhampton Wanderers,Jonny,,M,1,90,0,0,0.00,0.00,0.00,0.00
Wolverhampton Wanderers,Joao,Moutinho,M,1,90,0,0,1.00,4.00,0.02,0.40
Wolverhampton Wanderers,Romain,Saiss,D,1,90,0,0,4.00,0.00,0.47,0.00
Wolverhampton Wanderers,Raul,Jimenez,F,1,90,0,0,1.00,0.00,0.08,0.00
