Team,Player,Pos,Apps,Min,G,NPG,A,Sh90,KP90,xG,xG Change,NPxG,NPxG Change,xA,xA Change,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90 + xA90,NPxG90 + xA90,xGChain90,xGBuildup90,Yellow Flag,Red Flag
Chelsea,Kurt Zouma,D,21,1710,0,0,0,0.63,0.05,0.98,+0.98,0.98,+0.98,0.12,+0.12,6.08,6.07,0.05,0.05,0.01,0.06,0.06,0.32,0.32,4,0
Chelsea,Emerson,D M,14,1018,0,0,0,1.15,1.68,1.10,+1.10,1.10,+1.10,1.73,+1.73,6.92,5.45,0.10,0.10,0.15,0.25,0.25,0.61,0.48,3,0
Chelsea,Kepa,GK,24,2160,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,3.32,3.32,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0,0
Chelsea,Billy Gilmour,S,2,6,0,0,0,0.00,15.00,0.00,0,0.00,0,0.04,+0.04,0.04,0.00,0.00,0.00,0.61,0.61,0.61,0.61,0.00,0,0
Chelsea,Reece James,D M,16,1037,0,0,2,1.30,1.39,0.73,+0.73,0.73,+0.73,1.33,-0.67,4.24,3.44,0.06,0.06,0.12,0.18,0.18,0.37,0.30,1,0
Chelsea,Tariq Lamptey,S,1,26,0,0,0,0.00,3.46,0.00,0,0.00,0,0.07,+0.07,0.07,0.00,0.00,0.00,0.24,0.24,0.24,0.24,0.00,0,0
Manchester United,Marcus Rashford,F M,22,1890,14,9,4,3.52,1.14,15.11,+1.11,9.78,+0.78,3.20,-0.80,12.89,2.94,0.72,0.47,0.15,0.87,0.62,0.61,0.14,2,0
Manchester United,Anthony Martial,F,21,1731,10,10,3,2.81,1.04,8.39,-1.61,7.62,-2.38,2.54,-0.46,12.71,4.75,0.44,0.40,0.13,0.57,0.53,0.66,0.25,1,0
Manchester United,Mason Greenwood,F M,21,545,5,5,0,3.30,1.16,1.95,-3.05,1.95,-3.05,0.26,+0.26,3.49,1.63,0.32,0.32,0.04,0.36,0.36,0.58,0.27,0,0
Manchester United,Daniel James,F M,26,2098,3,3,6,1.59,1.07,3.16,+0.16,3.16,+0.16,4.18,-1.82,10.34,5.10,0.14,0.14,0.18,0.32,0.32,0.44,0.22,3,0
Manchester United,Scott McTominay,M,18,1475,2,2,1,1.65,0.92,1.84,-0.16,1.84,-0.16,1.42,+0.42,5.09,4.01,0.11,0.11,0.09,0.20,0.20,0.31,0.24,2,0
Manchester United,Andreas Pereira,M,23,1470,1,1,3,2.27,1.84,2.29,+1.29,2.29,+1.29,3.63,+0.63,8.87,4.52,0.14,0.14,0.22,0.36,0.36,0.54,0.28,3,0
Manchester United,Bruno Fernandes,M,3,270,1,0,2,3.33,2.33,1.13,+0.13,0.37,+0.37,0.69,-1.31,0.64,0.17,0.38,0.12,0.23,0.61,0.35,0.21,0.06,1,0
Manchester United,Harry Maguire,D,27,2430,1,1,0,0.93,0.48,2.08,+1.08,2.08,+1.08,0.39,+0.39,6.56,6.26,0.08,0.08,0.01,0.09,0.09,0.24,0.23,2,0
Manchester United,Victor Lindelof,D,24,2160,1,1,0,0.21,0.17,0.16,-0.84,0.16,-0.84,0.37,+0.37,5.33,5.31,0.01,0.01,0.02,0.02,0.02,0.22,0.22,4,0
Manchester United,Brandon Williams,D M,10,689,1,1,0,0.65,1.18,0.92,-0.08,0.92,-0.08,0.31,+0.31,4.42,3.40,0.12,0.12,0.04,0.16,0.16,0.58,0.44,5,0
Manchester United,David de Gea,GK,27,2430,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,2.34,2.34,0.00,0.00,0.00,0.00,0.00,0.09,0.09,2,0
Manchester United,Marcos Rojo,D,3,119,0,0,0,0.76,0.00,0.13,+0.13,0.13,+0.13,0.00,0,0.03,0.03,0.10,0.10,0.00,0.10,0.10,0.02,0.02,1,0
Manchester United,Juan Mata,M,16,712,0,0,2,1.26,2.15,1.21,+1.21,1.21,+1.21,1.95,-0.05,4.24,2.67,0.15,0.15,0.25,0.40,0.40,0.54,0.34,1,0
Manchester United,Jesse Lingard,M,20,885,0,0,0,2.03,1.93,1.89,+1.89,1.89,+1.89,1.06,+1.06,6.65,3.90,0.19,0.19,0.11,0.30,0.30,0.68,0.40,3,0
Manchester United,Odion Ighalo,S,2,10,0,0,0,27.00,0.00,0.48,+0.48,0.48,+0.48,0.00,0,0.48,0.00,4.35,4.35,0.00,4.35,4.35,4.35,0.00,0,0
Manchester United,Ashley Young,D M,12,956,0,0,0,0.28,1.79,0.08,+0.08,0.08,+0.08,1.67,+1.67,3.16,2.88,0.01,0.01,0.16,0.16,0.16,0.30,0.27,5,0
Manchester United,Nemanja Matic,M,10,783,0,0,0,0.46,0.80,0.16,+0.16,0.16,+0.16,0.47,+0.47,3.11,2.54,0.02,0.02,0.05,0.07,0.07,0.36,0.29,1,0
Manchester United,Axel Tuanzebe,D,5,186,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0,0
Manchester United,Phil Jones,D,2,137,0,0,0,1.31,0.00,0.08,+0.08,0.08,+0.08,0.00,0,0.35,0.35,0.05,0.05,0.00,0.05,0.05,0.23,0.23,0,0
Manchester United,Luke Shaw,D,16,1051,0,0,0,0.69,0.86,0.36,+0.36,0.36,+0.36,0.51,+0.51,3.05,2.67,0.03,0.03,0.04,0.08,0.08,0.26,0.23,4,0
Manchester United,Eric Bailly,D,1,90,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0
Manchester United,Paul Pogba,M,7,517,0,0,2,2.44,2.79,1.90,+1.90,1.14,+1.14,1.40,-0.60,3.79,2.71,0.33,0.20,0.24,0.57,0.44,0.66,0.47,0,0
Manchester United,Aaron Wan-Bissaka,D M,24,2152,0,0,2,0.21,0.75,0.47,+0.47,0.47,+0.47,2.69,+0.69,8.78,6.95,0.02,0.02,0.11,0.13,0.13,0.37,0.29,5,0
