,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
201,75.0,100.0,55037,0,0,-1,1,0,3,1.3,1.7,3,Cheikhou,1.7,139,False,Knock - 75% chance of playing,2020-02-22T21:30:18.688171Z,49,55037.jpg,2.7,Kouyaté,0.2,False,,d,7,31,67,28713,57,27691,1084,0.3,13.7,Kouyaté,1803,1,2,7,23,0,0,0,1,0,0,4,226,263.0,149.6,226.0,63.6
202,,,221275,0,0,-2,2,0,3,0.0,0.0,0,Luke,0.0,140,False,,,43,221275.jpg,0.0,Dreher,0.1,False,,a,7,31,0,11645,296,10429,234,0.0,0.0,Dreher,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
203,100.0,100.0,66838,0,0,-3,3,0,4,0.3,0.3,1,Cenk,0.3,146,False,,2020-01-30T14:30:24.031435Z,57,66838.jpg,2.6,Tosun,0.2,False,,a,7,31,23,27327,164,32891,329,0.1,4.0,Tosun,459,2,0,2,6,0,0,0,0,0,0,1,80,84.6,52.9,227.0,36.0
204,,,50472,0,0,-2,2,0,3,1.7,1.7,2,James,1.7,157,False,,,43,50472.jpg,1.2,McCarthy,0.8,False,,a,7,31,27,68242,4591,66700,1544,0.4,6.3,McCarthy,1035,0,0,1,16,0,0,0,6,0,0,0,129,170.0,128.7,61.0,36.1
205,,,80146,0,0,0,0,1,4,3.0,3.0,5,Jordan,3.0,468,False,,,50,80146.jpg,3.7,Ayew,7.9,False,,a,7,31,95,1439930,17515,1147217,14312,0.6,19.0,Ayew,2202,6,2,9,27,0,0,0,4,0,0,17,311,402.4,299.0,669.0,136.6
206,100.0,100.0,19419,0,0,-1,1,0,2,3.0,3.0,6,Gary,3.0,503,False,,2019-12-16T20:00:22.203812Z,44,19419.jpg,2.6,Cahill,1.3,False,,a,7,31,47,124458,3477,182282,794,0.7,10.7,Cahill,1620,0,1,4,26,0,0,0,1,0,0,3,287,345.8,37.7,222.0,60.9
207,0.0,0.0,175946,0,0,-5,5,0,3,0.0,0.0,0,Víctor,0.0,510,False,Loan deal ended on 13/1,2020-01-06T01:00:18.633384Z,45,175946.jpg,1.0,Camarasa,0.2,False,,u,7,31,1,4754,46,49120,76,0.0,0.2,Camarasa,5,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0
208,100.0,100.0,173954,0,0,0,0,0,3,0.3,0.3,1,Jairo,0.3,539,False,,2020-01-05T22:00:20.857953Z,45,173954.jpg,1.6,Riedewald,0.0,False,,a,7,31,14,2313,38,1611,66,0.1,3.1,Riedewald,563,0,0,0,7,0,0,0,0,0,0,0,87,91.8,38.2,24.0,15.4
209,,,42525,0,0,0,0,0,1,0.0,0.0,0,Stephen,0.0,556,False,,,40,42525.jpg,0.0,Henderson,0.4,False,,a,7,31,0,41117,531,17498,738,0.0,0.0,Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
210,0.0,0.0,221272,0,0,0,0,0,2,0.0,0.0,0,Sam,0.0,578,False,Joined Hamilton on loan until the end of the season on 24/1. - Expected back 01 Jul,2020-01-24T15:00:18.535146Z,40,221272.jpg,0.0,Woods,0.0,False,,n,7,31,0,4193,15,3360,118,0.0,0.0,Woods,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
211,,,244723,0,0,0,0,0,2,0.0,0.0,0,Tyrick,0.0,579,False,,,40,244723.jpg,0.0,Mitchell,0.0,False,,a,7,31,0,1835,166,1135,123,0.0,0.0,Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
212,,,466955,0,0,0,0,0,3,0.0,0.0,0,Brandon,0.0,580,False,,,45,466955.jpg,1.0,Pierrick,0.0,False,,a,7,31,1,272,17,168,13,0.0,0.2,Pierrick,7,0,0,0,0,0,0,0,0,0,0,0,5,4.4,21.0,2.0,2.7
213,0.0,0.0,432705,0,0,0,0,0,4,0.0,0.0,0,James,0.0,581,False,Joined Bristol Rovers on a permanent deal on 31/1,2020-01-31T20:30:19.305077Z,45,432705.jpg,0.0,Daly,0.0,False,,u,7,31,0,990,24,898,22,0.0,0.0,Daly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
214,,,209043,0,0,0,0,0,3,0.0,0.0,0,Nya,0.0,588,False,,,45,209043.jpg,0.0,Kirby,0.0,False,,a,7,31,0,180,20,104,5,0.0,0.0,Kirby,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
215,0.0,0.0,234720,0,0,0,0,0,3,0.0,0.0,0,Giovanni,0.0,608,False,Joined Dartford on loan until the end of the season on 31/1. - Expected back 01 Jul,2020-01-31T20:30:19.355699Z,45,234720.jpg,0.0,McGregor,0.0,False,,n,7,31,0,203,86,93,12,0.0,0.0,McGregor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
216,100.0,100.0,153133,0,0,-4,4,0,3,0.5,0.5,1,Alex,1.0,17,False,,2019-12-21T14:30:20.051028Z,56,153133.jpg,2.1,Iwobi,0.9,False,,a,8,11,38,133911,248,239632,250,0.2,6.8,Iwobi,1162,1,0,1,26,0,0,0,0,0,0,2,168,186.6,279.9,293.0,76.0
217,75.0,100.0,101188,0,0,-2,2,3,2,0.4,0.5,0,Lucas,1.0,141,False,Muscle injury - 75% chance of playing,2020-02-23T19:00:12.788850Z,58,101188.jpg,3.3,Digne,12.1,False,,d,8,11,83,1242999,1146,2055011,35685,0.2,14.3,Digne,2151,0,5,6,36,1,0,0,2,0,0,12,459,517.2,881.5,229.0,162.9
